nom/id,pictDB.h : struct pictdb_header,pictDB.h : struct pict_metadata,pictDB.h : struct pictdb_file,pictDB.h : proto print_header,pictDB.h : proto do_list,db_list.c (fonction do_list),db_utils.c : print_header,db_utils.c : print_metadata,Makefile,commentaires/Doxygen,pénalité nom,total
,3.5 pt,3.5 pt,1.5 pt,1 pt,1 pt,6 pt,2 pt,2 pt,2 pt,1.5 pt,-2 pts,24 pts
5256,3.5,3.5,1.5,1,1,6,2,2,2,1.5,0,24
